,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,remote_ratio,company_size,company_location_iso_a3,employee_residence_iso_a3,gdp_company_location,gdp_employee_residence,same_country,ai_or_ml_job
92,2021,2,FT,Principal Site Reliability Engineer,250000,USD,250000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
93,2021,3,FT,Principal Cloud Architect,200000,USD,200000,100,0,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
94,2021,3,FT,DevSecOps Engineer,160000,USD,160000,100,0,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
95,2021,1,FT,Site Reliability Engineer,133830,USD,133830,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
96,2021,1,FT,Site Reliability Engineer,146000,USD,146000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
97,2021,2,FT,Lead Site Reliability Engineer,130000,USD,130000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
98,2021,1,FT,Site Reliability Engineer,85000,USD,85000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
99,2021,2,FT,DevOps Engineer,161500,USD,161500,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
100,2021,2,FT,Platform Engineer,160000,USD,160000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
101,2021,0,FT,DevOps Engineer,90000,USD,90000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
102,2021,0,FT,DevOps Engineer,110000,USD,110000,50,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
103,2021,2,FT,Cloud Architect,140000,USD,140000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
104,2021,2,FT,DevOps Engineer,189750,USD,189750,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
105,2021,1,FT,DevOps Engineer,135000,USD,135000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
106,2021,1,FT,Infrastructure Engineer,72000,USD,72000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
107,2021,1,CT,Data Infrastructure Engineer,214000,USD,214000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,1.0
108,2021,2,FT,Cloud Platform Engineer,135000,USD,135000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
109,2021,0,FT,Site Reliability Engineer,115000,USD,115000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
110,2021,2,FT,Azure Cloud Engineer,152500,USD,152500,50,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
111,2021,1,FT,DevOps Engineer,80000,USD,80000,50,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
112,2021,2,FT,Lead DevOps Engineer,134000,USD,134000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
113,2021,3,FT,Cloud Architect,260000,USD,260000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
114,2021,2,FT,Cloud Security Engineer,150000,USD,150000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
115,2021,2,FT,Site Reliability Engineer,123000,USD,123000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
116,2021,2,FT,Principal DevOps Engineer,195000,USD,195000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
117,2021,1,FT,Cloud Engineer,150000,USD,150000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
118,2021,2,FT,Staff DevOps Engineer,180000,USD,180000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
119,2021,2,FT,Azure DevOps Engineer,160000,USD,160000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
120,2021,1,FT,DevOps Engineer,131000,USD,131000,50,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
121,2021,2,FT,Cloud Architect,238000,USD,238000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
122,2021,2,FT,Cloud Operations Engineer,140000,USD,140000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
123,2021,0,FT,DevOps Engineer,92000,USD,92000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
124,2021,2,FT,Cloud Infrastructure Engineer,145000,USD,145000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
125,2021,1,FT,DevOps Engineer,133000,USD,133000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
126,2021,2,FT,DevOps Architect,180000,USD,180000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
127,2021,2,FT,Lead DevOps Engineer,260000,USD,260000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
128,2021,2,FT,DevOps Manager,100000,USD,100000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
129,2021,2,FT,Staff DevOps Engineer,210000,USD,210000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
130,2021,1,FT,Cloud Infrastructure Architect,190000,USD,190000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
131,2021,0,FT,Site Reliability Engineer,88600,USD,88600,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
132,2021,0,FT,Cloud Engineer,62000,USD,62000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
133,2021,1,FT,DevOps Engineer,121000,USD,121000,50,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
134,2021,2,FT,DevOps Engineer,125000,USD,125000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
135,2021,2,FT,DevOps Engineer,185000,USD,185000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
136,2021,2,FT,Cloud Engineer,145000,USD,145000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
137,2021,1,FT,DevOps Engineer,224000,USD,224000,50,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
138,2021,1,FT,DevOps Engineer,100500,USD,100500,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
139,2021,2,FT,Cloud Infrastructure Engineer,185000,USD,185000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
140,2021,1,FT,DevOps Architect,145000,USD,145000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
141,2021,2,FT,Cloud Architect,145000,USD,145000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
142,2021,1,FT,Site Reliability Engineer,132000,USD,132000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
143,2021,2,FT,Lead DevOps Engineer,222000,USD,222000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
144,2021,1,FT,DevOps Consultant,205000,USD,205000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
145,2021,2,FT,Cloud Infrastructure Engineer,205000,USD,205000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
146,2021,2,FT,Director of Infrastructure,116000,USD,116000,100,0,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
147,2021,1,FT,Infrastructure Engineer,90000,USD,90000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
148,2021,2,CT,Cloud DevOps Engineer,170000,USD,170000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
149,2021,1,FT,Infrastructure Engineer,250000,USD,250000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
150,2021,0,FT,DevOps Engineer,150000,USD,150000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
151,2021,3,FT,Site Reliability Engineering Manager,170000,USD,170000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
152,2021,1,FT,Cloud Engineer,151000,USD,151000,50,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
153,2021,2,FT,Site Reliability Engineer,178000,USD,178000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
154,2021,3,FT,DevOps Manager,150000,USD,150000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
155,2021,0,FT,Cloud Engineer,80000,USD,80000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
156,2021,0,CT,Azure DevOps Engineer,50000,USD,50000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
157,2021,2,FT,DevOps Engineer,155000,USD,155000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
158,2021,2,FT,Site Reliability Engineer,203000,USD,203000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
159,2021,2,FT,Cloud Infrastructure Engineer,146000,USD,146000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
160,2021,1,FT,DevOps Consultant,100000,USD,100000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
161,2021,0,FT,DevOps Engineer,126500,USD,126500,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
162,2021,2,FT,Infrastructure Engineer,210000,USD,210000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
163,2021,0,FT,Cloud Infrastructure Engineer,95000,USD,95000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
164,2021,2,FT,DevOps Engineer,175000,USD,175000,100,0,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
165,2021,2,FT,Staff DevOps Engineer,195000,USD,195000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
166,2021,2,FT,Site Reliability Engineer,135000,USD,135000,50,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
167,2021,0,FT,Site Reliability Engineer,74000,USD,74000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
168,2021,2,FT,DevOps Team Lead,145000,USD,145000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
169,2021,2,FT,DevOps Infrastructure Engineer,185000,USD,185000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
170,2021,3,FT,DevOps Architect,220000,USD,220000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
171,2021,2,FT,DevOps Engineer,144000,USD,144000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
172,2021,0,FT,Cloud Infrastructure Engineer,105000,USD,105000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
173,2021,0,FT,Site Reliability Engineer,110000,USD,110000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
174,2021,2,FT,Principal DevOps Engineer,170000,USD,170000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
175,2021,2,FT,Site Reliability Engineer,177000,USD,177000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
176,2021,2,FT,Lead DevOps Engineer,105000,USD,105000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
177,2021,2,FT,Site Reliability Engineer,200000,USD,200000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
178,2021,2,FT,DevOps Engineer,165000,USD,165000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
179,2021,2,FT,Site Reliability Engineer,115000,USD,115000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
180,2021,0,FT,Site Reliability Engineer,105000,USD,105000,50,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
181,2021,0,FT,DevOps Engineer,50000,USD,50000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
182,2021,1,FT,Cloud DevOps Engineer,110000,USD,110000,100,0,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
183,2021,2,FT,Principal DevOps Engineer,173000,USD,173000,50,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
184,2021,2,FT,Staff Platform Engineer,191000,USD,191000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
185,2021,0,FT,DevOps Engineer,113000,USD,113000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
186,2021,1,FT,DevOps Engineer,171000,USD,171000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
187,2021,1,FT,DevOps Engineer,115000,USD,115000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
188,2021,0,FT,Automation Engineer,72000,USD,72000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
189,2021,2,FT,Site Reliability Engineer,147000,USD,147000,50,0,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
190,2021,2,FT,Infrastructure Engineer,200000,USD,200000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
191,2021,2,FT,DevOps Manager,120000,USD,120000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
192,2021,1,FT,Site Reliability Engineer,160000,USD,160000,50,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
193,2021,1,CT,DevOps Engineer,150000,USD,150000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
194,2021,2,FT,Site Reliability Engineer,155000,USD,155000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
195,2021,1,FT,Cloud Architect,140000,USD,140000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
196,2021,2,FT,DevOps Infrastructure Engineer,163000,USD,163000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
197,2021,2,FT,DevOps Architect,160000,USD,160000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
198,2021,1,FT,DevOps Consultant,119000,USD,119000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
199,2021,2,FT,Infrastructure Architect,170000,USD,170000,50,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
200,2021,2,FT,DevOps Team Lead,155000,USD,155000,50,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
201,2021,2,FT,DevOps Engineer,140000,USD,140000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
202,2021,1,FT,DevOps Engineer,119000,USD,119000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
203,2021,1,FT,DevOps Engineer,150000,USD,150000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
204,2021,1,FT,Site Reliability Engineer,165000,USD,165000,50,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
205,2021,1,FT,Site Reliability Engineer,139000,USD,139000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
206,2021,1,FT,DevOps Engineer,110000,USD,110000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
207,2021,0,FT,DevOps Consultant,85000,USD,85000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
208,2021,2,FT,DevOps Engineer,106000,USD,106000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
209,2021,1,FT,DevOps Manager,150000,USD,150000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
210,2021,2,FT,Cloud Engineer,165000,USD,165000,100,0,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
211,2021,1,FT,Cloud Engineer,95000,USD,95000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
212,2021,2,FT,DevOps Engineer,236000,USD,236000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
213,2021,2,FT,Cloud DevOps Engineer,150000,USD,150000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
214,2021,1,FT,Platform Engineer,167000,USD,167000,50,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
215,2021,1,FT,DevOps Manager,100000,USD,100000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
216,2021,2,FT,Infrastructure Engineer,130000,USD,130000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
217,2021,2,CT,Cloud Architect,195000,USD,195000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
218,2021,2,FT,Site Reliability Engineer,156000,USD,156000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
219,2021,2,FT,DevOps Manager,167000,USD,167000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
220,2021,1,FT,DevOps Team Lead,150000,USD,150000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
221,2021,2,FT,Cloud Infrastructure Architect,202000,USD,202000,50,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
222,2021,1,FT,Azure Cloud Engineer,100000,USD,100000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
223,2021,2,FT,DevOps Engineer,205000,USD,205000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
224,2021,1,FT,DevOps Engineer,130000,USD,130000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
225,2021,2,FT,DevOps Team Lead,170000,USD,170000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
226,2021,1,FT,DevOps Engineer,155000,USD,155000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
227,2021,2,FT,Platform Engineer,190000,USD,190000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
228,2021,2,FT,Cloud DevOps Engineer,160000,USD,160000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
229,2021,1,FT,Cloud DevOps Engineer,138000,USD,138000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
230,2021,3,FT,Director of Infrastructure,225000,USD,225000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
231,2021,1,FT,DevOps Engineer,121000,USD,121000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
232,2021,2,FT,Cloud Engineer,140000,USD,140000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
233,2021,1,FT,DevOps Engineer,105000,USD,105000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
234,2021,1,FT,DevOps Team Lead,87500,USD,87500,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
235,2021,1,FT,Cloud Engineer,100000,USD,100000,50,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
236,2021,2,FT,DevOps Engineer,200000,USD,200000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
237,2021,2,FT,DevOps Engineer,105000,USD,105000,50,0,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
238,2021,0,FT,Infrastructure Python Developer,74000,USD,74000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
239,2021,1,FT,Site Reliability Engineer,135000,USD,135000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
240,2021,1,FT,DevOps Engineer,120000,USD,120000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
241,2021,0,FT,Platform Engineer,126000,USD,126000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
242,2021,0,FT,DevOps Engineer,78000,USD,78000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
243,2021,3,FT,DevOps Consultant,181000,USD,181000,50,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
244,2021,0,FT,DevOps Engineer,70000,USD,70000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
245,2021,2,FT,Lead Platform Engineer,162000,USD,162000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
246,2021,2,FT,Lead DevOps Engineer,125000,USD,125000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
247,2021,1,FT,DevOps Automation Engineer,120000,USD,120000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
248,2021,1,FT,Platform Engineer,100000,USD,100000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
249,2021,1,FT,Site Reliability Engineer,141800,USD,141800,50,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
250,2021,0,FT,Platform Engineer,135000,USD,135000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
251,2021,2,FT,Cloud Engineer,110000,USD,110000,50,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
252,2021,2,FT,DevOps Architect,150000,USD,150000,50,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
253,2021,1,FT,Cloud DevOps Engineer,135000,USD,135000,50,0,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
254,2021,0,FT,Cloud DevOps Engineer,78000,USD,78000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
255,2021,1,FT,Site Reliability Engineer,126500,USD,126500,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
256,2021,1,FT,DevOps Engineer,165000,USD,165000,100,0,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
257,2021,1,FT,Infrastructure Engineer,132000,USD,132000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
258,2021,1,FT,Principal DevOps Engineer,145000,USD,145000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
259,2021,0,FT,Cloud DevOps Engineer,85000,USD,85000,50,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
260,2021,2,FT,Cloud Architect,200000,USD,200000,50,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
261,2021,1,FT,Site Reliability Engineer,125000,USD,125000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
262,2021,2,FT,DevOps Engineer,150000,USD,150000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
263,2021,1,FT,DevOps Engineer,100000,USD,100000,100,0,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
264,2021,2,FT,Site Reliability Engineer,115000,USD,115000,50,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
265,2021,2,FT,DevOps Manager,165000,USD,165000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
266,2021,1,FT,Site Reliability Engineer,210000,USD,210000,50,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
267,2021,0,FT,DevSecOps Engineer,77750,USD,77750,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
268,2021,2,FT,DevOps Engineer,92867,USD,92867,50,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
269,2021,0,FT,DevOps Engineer,102000,USD,102000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
270,2021,1,FT,Cloud Engineer,115000,USD,115000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
271,2021,2,FT,Cloud DevOps Systems Engineer,150000,USD,150000,50,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
272,2021,2,FT,DevOps Engineer,160000,USD,160000,50,0,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
273,2021,1,FT,Cloud DevOps Engineer,127000,USD,127000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
274,2021,1,FT,Client Platform Engineer,165000,USD,165000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
275,2021,2,FT,Lead DevOps Engineer,185000,USD,185000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
276,2021,2,FT,Site Reliability Engineer,140000,USD,140000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
277,2021,1,FT,DevOps Engineer,141500,USD,141500,50,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
278,2021,1,FT,Cloud Platform Engineer,135000,USD,135000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
279,2021,2,FT,Principal Site Reliability Engineer,144658,USD,144658,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
280,2021,2,FT,DevOps Engineer,145000,USD,145000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
281,2021,0,FT,Cloud Engineer,100000,USD,100000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
282,2021,2,FT,Penetration Testing Engineer,126000,USD,126000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
283,2021,0,FT,Cyber Security Analyst,100000,USD,100000,50,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
284,2021,2,FT,Application Security Engineer,135000,USD,135000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
285,2021,0,FT,Application Security Engineer,65000,USD,65000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
286,2021,1,FT,Information Security Engineer,128000,USD,128000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
287,2021,1,FT,Cyber Threat Intelligence Analyst,116000,USD,116000,50,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
288,2021,2,FT,Cloud Security Architect,205000,USD,205000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
289,2021,2,FT,Cybersecurity Engineer,133900,USD,133900,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
290,2021,2,FT,Penetration Tester,133000,USD,133000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
291,2021,0,FT,Cyber Security Researcher,125000,USD,125000,50,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
292,2021,1,FT,Cyber Security Engineer,85000,USD,85000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
