,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
73,2021,MI,FT,Digital Forensics Analyst,100000,USD,100000,US,100,US,M
74,2022,MI,FT,Information Security Officer,100000,USD,100000,US,50,US,L
75,2021,SE,FT,Security Engineer,145000,USD,145000,US,50,US,L
76,2021,MI,FT,Information Security Analyst,120000,USD,120000,US,100,US,L
77,2021,MI,FT,Penetration Tester,100000,USD,100000,US,100,US,M
78,2021,MI,FT,Software Security Engineer,320000,USD,320000,US,50,US,L
79,2021,EN,FT,Security Analyst,75000,USD,75000,US,100,US,S
80,2021,SE,FT,Cyber Security Engineer,150000,USD,150000,US,100,US,L
81,2021,MI,FT,Security Engineer,69000,EUR,81562,DE,50,DE,L
82,2021,SE,FT,Privacy Manager,120000,USD,120000,US,100,US,L
83,2020,MI,FT,Cyber Threat Analyst,115000,USD,115000,US,100,US,L
84,2021,MI,FT,Security Analyst,91700,USD,91700,US,0,US,L
85,2021,MI,FT,Security Analyst,82600,USD,82600,US,0,US,L
86,2021,SE,FT,IT Security Manager,146000,USD,146000,US,100,US,L
87,2021,MI,FT,Cyber Security Analyst,135000,USD,135000,US,50,US,L
88,2021,SE,FT,Information Security Manager,185000,USD,185000,US,50,US,L
89,2021,EX,FT,Head of Security,220000,USD,220000,US,50,US,L
90,2021,EN,FT,SOC Analyst,68500,USD,68500,US,50,US,M
91,2020,SE,FT,Information Security Manager,150000,CAD,111883,CA,100,US,L
92,2021,MI,FT,Penetration Tester,115000,USD,115000,US,100,US,M
93,2021,MI,FT,Cyber Security Engineer,97350,USD,97350,US,100,US,L
94,2020,SE,FT,Information Security Analyst,94000,USD,94000,US,50,US,L
95,2021,EN,FT,Cyber Security Engineer,93000,USD,93000,US,100,US,L
96,2021,SE,FT,Information Security Analyst,130000,USD,130000,US,100,US,L
97,2020,SE,FT,Cloud Security Engineer,65000,EUR,74130,ES,50,US,L
98,2021,MI,FT,Cyber Security Architect,105000,CHF,114839,CH,0,CH,L
99,2021,MI,FT,Cloud Security Engineer,100000,USD,100000,KG,50,RU,L
100,2021,EN,FT,Cyber Security Analyst,79000,USD,79000,US,100,US,L
101,2021,SE,FT,Cybersecurity Training Specialist,130000,USD,130000,US,100,US,M
102,2020,SE,FT,Cyber Security Specialist,129998,USD,129998,US,100,US,M
103,2021,EN,FT,Cyber Security Analyst,75000,USD,75000,US,100,US,M
104,2021,SE,FT,Threat Intelligence Analyst,155000,USD,155000,US,100,US,S
105,2021,MI,FT,Information Security Officer,40200,EUR,47518,DE,50,DE,S
106,2021,MI,FT,Cyber Threat Intelligence Analyst,75000,USD,75000,US,100,US,L
107,2021,SE,FT,Product Security Engineer,85000,EUR,100474,ES,100,ES,L
108,2021,SE,FT,Information Security Manager,200000,USD,200000,US,0,US,M
109,2021,MI,FT,Information Security Analyst,93600,USD,93600,US,100,US,L
110,2021,MI,FT,Chief Information Security Officer,96500,USD,96500,US,0,US,L
111,2021,EN,FT,Cyber Security Analyst,100000,USD,100000,KE,100,KE,M
112,2021,SE,FT,Cyber Security Architect,205000,USD,205000,US,100,US,L
113,2020,EN,FT,Security Engineer,122000,USD,122000,US,0,US,L
114,2020,EN,FT,Cybersecurity Analyst,96000,USD,96000,US,50,US,L
115,2021,EN,FT,SOC Analyst,72000,USD,72000,US,100,US,L
116,2021,EN,FT,Cybersecurity Analyst,50000,USD,50000,US,100,US,L
117,2021,EN,FT,IT Security Analyst,50000,USD,50000,US,0,US,L
118,2021,MI,FT,Cyber Security Engineer,45000,GBP,61896,GB,100,GB,L
119,2021,EN,FT,Cyber Security Engineer,150000,EUR,177308,BG,100,GB,L
120,2021,MI,FT,Cloud Security Engineer,1000000,INR,13523,IN,50,IN,L
121,2021,EN,FT,Penetration Tester,35000,GBP,48141,GB,100,GB,M
122,2021,MI,FT,IT Security Engineer,23000,EUR,27187,GR,0,GR,M
123,2021,SE,FT,Information Security Architect,140000,USD,140000,US,100,US,L
124,2021,MI,FT,Cybersecurity Analyst,85000,USD,85000,US,100,US,S
125,2021,SE,FT,Information Security Specialist,92000,USD,92000,US,100,US,L
126,2020,MI,FT,DevSecOps Engineer,103000,USD,103000,US,50,US,L
127,2021,EN,FT,Penetration Tester,70000,USD,70000,IR,0,CA,L
128,2021,EN,FT,DevSecOps Engineer,27000,EUR,31915,EE,0,EE,L
129,2021,EN,FT,Cyber Security Analyst,65000,USD,65000,US,100,US,L
130,2020,SE,FT,Incident Response Manager,180000,USD,180000,US,50,US,L
131,2021,SE,FT,Information Security Manager,50500,EUR,59693,PT,50,PT,L
132,2020,MI,FT,Cybersecurity Analyst,83500,CHF,88981,CH,100,CH,L
133,2021,SE,FT,Cyber Security Engineer,216000,USD,216000,US,100,US,L
134,2020,MI,FT,IT Security Analyst,90000,USD,90000,US,100,US,M
135,2021,SE,FT,Cyber Security Analyst,95000,USD,95000,US,100,CA,L
136,2021,EN,FT,Penetration Tester,70000,USD,70000,US,50,US,S
137,2021,SE,FT,Lead Security Engineer,150000,USD,150000,US,100,US,M
138,2021,SE,FT,Security Engineer,130000,USD,130000,US,100,US,M
139,2021,SE,FT,Cybersecurity Engineer,175000,USD,175000,US,100,US,L
140,2021,MI,FT,Cyber Security Engineer,220000,USD,220000,US,50,US,M
141,2021,EN,FT,Information Security Officer,106000,USD,106000,US,0,US,L
142,2021,SE,FT,Incident Response Analyst,120000,USD,120000,US,100,US,L
143,2021,EN,FT,Cybersecurity Analyst,75000,USD,75000,US,100,US,L
144,2021,EN,FT,Cyber Security Analyst,26100,GBP,35899,GB,50,GB,L
145,2021,MI,FT,Cyber Security Analyst,96000,USD,96000,US,50,US,L
146,2021,EN,FT,Information Security Analyst,75000,USD,75000,US,50,US,L
147,2021,EN,FT,Cyber Security Analyst,75000,EUR,88654,NL,100,NL,L
148,2021,SE,FT,Information Security Manager,3200000,INR,43275,IN,0,IN,L
149,2021,MI,FT,Cyber Security Analyst,3200000,INR,43275,IN,0,IN,L
150,2021,EN,FT,Information Security Analyst,65000,USD,65000,US,100,US,L
151,2020,EN,FT,Cybersecurity Engineer,80000,USD,80000,US,50,US,L
152,2020,MI,FT,SOC Analyst,91520,USD,91520,US,0,US,L
153,2021,EX,FT,Head of Security,340000,AUD,255170,AU,50,AU,L
154,2021,SE,FT,Security Engineering Manager,135600,USD,135600,US,0,US,L
155,2020,EN,FT,Cybersecurity Analyst,400000,DKK,61195,DK,0,DK,M
156,2021,MI,FT,Information Security Analyst,53000,USD,53000,US,0,US,L
157,2021,MI,FT,Cyber Security Engineer,72000,USD,72000,US,50,US,M
158,2021,MI,FT,IT Security Engineer,169000,USD,169000,US,50,US,L
159,2021,MI,FT,Information Security Manager,162000,AUD,121581,AU,100,AU,L
160,2020,MI,FT,Cyber Security Architect,99000,USD,99000,US,0,US,L
161,2021,MI,FT,Penetration Tester,100000,USD,100000,US,100,US,L
162,2021,MI,FT,Information Security Manager,130000,USD,130000,US,0,US,M
163,2021,MI,FT,Security Analyst,97000,USD,97000,US,100,US,L
164,2020,MI,FT,Cyber Security Analyst,60000,EUR,68428,IE,50,IE,L
165,2021,MI,FT,Cyber Security Analyst,55000,EUR,65013,PT,100,DE,S
166,2021,MI,FT,IT Security Engineer,90000,USD,90000,US,50,US,L
167,2021,EN,FT,Information Security Engineer,85000,USD,85000,US,100,US,L
168,2021,MI,FT,IT Security Engineer,90000,USD,90000,US,50,US,L
169,2020,EN,FT,Vulnerability Researcher,85000,USD,85000,US,0,US,L
170,2020,MI,FT,Penetration Tester,432000,DKK,66091,DK,50,DK,L
171,2021,SE,FT,Cyber Security Specialist,95000,CAD,75774,CA,100,CA,S
172,2020,MI,FT,Incident Response Manager,123000,USD,123000,US,0,US,L
173,2021,SE,FT,Cyber Security Analyst,80000,USD,80000,IN,50,RS,L
174,2021,SE,FT,Cloud Security Engineer,170000,USD,170000,US,100,US,L
175,2021,EN,FT,Cyber Threat Intelligence Analyst,77000,USD,77000,US,100,US,L
176,2021,MI,FT,Penetration Tester,80000,CAD,63810,CA,100,CA,L
177,2021,EX,FT,Chief Information Security Officer,375000,USD,375000,US,100,US,L
178,2021,EN,FT,Cybersecurity Analyst,50400,EUR,59575,DE,50,DE,M
179,2020,MI,FT,Security Engineer,135000,USD,135000,US,100,US,M
180,2020,SE,FT,Security Engineer,148000,USD,148000,US,50,US,M
181,2020,SE,FT,Staff Application Security Engineer,180000,USD,180000,US,100,US,L
182,2021,MI,FT,Cyber Security Analyst,90000,USD,90000,US,100,US,L
183,2021,EN,FT,Cyber Security Analyst,63700,USD,63700,US,100,US,L
184,2021,SE,FT,Incident Response Analyst,65000,GBP,89405,GB,100,GB,L
185,2020,EX,FT,Information Security Manager,117810,USD,117810,US,0,US,S
186,2020,MI,FT,Information Systems Security Engineer,200000,USD,200000,US,100,US,L
187,2021,SE,FT,Cyber Security Analyst,48000,EUR,56738,SI,50,SI,M
188,2021,MI,FT,SOC Analyst,80000,CAD,63810,CA,100,CA,L
189,2020,SE,FT,Cyber Security Analyst,134000,USD,134000,US,100,US,L
190,2021,MI,FT,Cyber Security Analyst,119000,USD,119000,US,100,AU,L
191,2020,MI,FT,Information Security Analyst,140000,USD,140000,US,0,US,L
192,2020,MI,FT,Cyber Security Engineer,175000,USD,175000,US,50,US,L
193,2021,SE,FT,Cyber Security Analyst,85000,USD,85000,US,50,US,L
194,2020,MI,FT,Offensive Security Engineer,180000,USD,180000,US,50,US,M
195,2021,SE,FT,Information Security Engineer,320000,USD,320000,US,100,US,L
196,2021,MI,FT,SOC Analyst,75000,USD,75000,US,100,US,M
197,2021,MI,FT,Penetration Testing Engineer,127000,USD,127000,US,100,US,L
198,2021,EN,FT,Cyber Security Specialist,45100,USD,45100,US,50,US,L
199,2021,SE,FT,Information Security Officer,124000,USD,124000,US,50,US,L
200,2021,MI,FT,Information Security Manager,90000,USD,90000,US,0,US,M
201,2021,EX,FT,IAM Engineer,240000,USD,240000,US,50,US,L
202,2021,EX,FT,IAM Engineer,240000,USD,240000,US,50,US,L
203,2020,MI,FT,Security Engineer,80000,USD,80000,US,100,US,M
204,2020,MI,FT,Security Engineer,120000,AUD,82648,AU,50,AU,L
205,2020,SE,FT,Security Engineering Manager,27000,USD,27000,AR,50,AR,M
206,2020,MI,FT,Cyber Security Analyst,87500,USD,87500,US,100,US,L
207,2020,MI,FT,Cyber Security Analyst,110000,USD,110000,US,0,US,L
208,2021,EN,FT,Penetration Tester,98000,USD,98000,US,50,US,L
209,2020,MI,FT,Cyber Security Architect,102000,USD,102000,US,50,US,L
210,2020,MI,FT,Cyber Threat Analyst,72000,USD,72000,US,100,US,L
211,2021,EX,FT,Chief Information Security Officer,300000,CAD,239287,CA,50,CA,S
212,2021,MI,FT,IT Security Engineer,124000,USD,124000,US,0,US,M
213,2021,EN,FT,Ethical Hacker,119000,USD,119000,US,100,US,L
214,2020,SE,FT,Principal Security Engineer,175000,USD,175000,US,100,US,L
215,2021,SE,FT,Information Security Manager,180000,USD,180000,US,100,US,L
216,2020,SE,FT,SOC Analyst,85000,CAD,63400,CA,100,CA,S
217,2021,EN,FT,SOC Analyst,65000,NZD,45950,NZ,0,NZ,M
218,2021,SE,FT,Information Security Manager,123000,USD,123000,US,100,US,L
219,2020,EN,FT,Cyber Security Analyst,80000,USD,80000,US,50,US,L
220,2021,MI,FT,Infrastructure Security Engineer,120000,USD,120000,US,50,US,L
221,2021,MI,FT,Cyber Security Analyst,150000,USD,150000,US,50,US,M
222,2021,SE,FT,Information Security Manager,40000,EUR,47282,ES,0,ES,L
223,2021,SE,FT,Information Security Manager,135000,USD,135000,US,0,US,L
224,2021,MI,FT,Cyber Security Engineer,130000,USD,130000,US,50,US,L
225,2021,MI,FT,Information Security Manager,100000,USD,100000,US,50,US,M
226,2021,EN,FT,Cyber Threat Analyst,20000,EUR,23641,GR,100,US,L
227,2021,EN,FT,SOC Analyst,36200,GBP,49792,GB,100,GB,M
228,2021,EN,FT,Cybersecurity Analyst,70000,USD,70000,US,100,US,L
229,2021,SE,FT,Principal Cloud Security Engineer,130000,USD,130000,US,100,US,L
230,2021,EN,FT,Security Analyst,73000,USD,73000,US,0,US,S
231,2021,MI,FT,IT Security Engineer,10320000,HUF,34018,HU,50,HU,M
232,2021,EN,FT,Incident Response Analyst,70000,NZD,49485,NZ,0,NZ,S
233,2021,MI,FT,Cybersecurity Analyst,92000,USD,92000,US,100,US,L
234,2021,MI,FT,Cyber Security Analyst,145000,USD,145000,US,50,US,L
235,2020,SE,FT,Cyber Security Engineer,135000,USD,135000,US,50,US,L
236,2021,EN,FT,Cyber Security Analyst,45500,EUR,53783,DE,0,DE,L
237,2021,SE,FT,Cyber Security Analyst,150000,USD,150000,US,0,US,L
238,2021,MI,FT,Chief Information Security Officer,44000,GBP,60520,GB,100,GB,L
239,2020,EN,FT,Cyber Security Engineer,75000,USD,75000,US,100,US,L
240,2021,SE,FT,Cybersecurity Analyst,48000,GBP,66022,GB,100,US,L
241,2021,MI,FT,Cyber Security Specialist,50000,GBP,68773,GB,50,GB,L
242,2020,SE,FT,Information Security Manager,150000,USD,150000,US,50,US,L
243,2021,MI,FT,Cyber Security Analyst,90000,USD,90000,US,0,US,M
244,2020,MI,FT,Information Security Manager,70000,EUR,79833,IE,50,IE,L
245,2021,SE,FT,Information Security Architect,102500,USD,102500,US,0,US,L
246,2021,EX,FT,Chief Information Security Officer,130000,USD,130000,US,100,US,L
247,2021,MI,FT,Cyber Security Analyst,85000,USD,85000,US,100,US,L
248,2021,MI,FT,Penetration Tester,120000,USD,120000,US,100,US,M
249,2020,EX,FT,Security Engineering Manager,600000,USD,600000,US,50,US,L
250,2021,SE,FT,Cyber Security Architect,141000,USD,141000,US,50,US,L
251,2020,EN,FT,Cyber Security Analyst,66000,USD,66000,US,50,US,L
252,2021,EN,FT,Security Analyst,60008,USD,60008,US,50,US,L
253,2020,SE,FT,Cybersecurity Engineer,272000,USD,272000,US,100,US,L
254,2020,EN,FT,Cyber Security Analyst,80000,USD,80000,US,100,US,M
255,2020,MI,FT,Information Security Analyst,40000,GBP,51305,GB,100,DK,L
256,2021,EN,FT,IT Security Analyst,31000,USD,31000,US,0,US,L
257,2021,SE,FT,Security Engineer,150000,CAD,119643,CA,100,CA,M
258,2021,EN,FT,Security Analyst,100300,USD,100300,US,100,US,L
259,2021,SE,FT,Product Security Engineer,150000,USD,150000,US,100,US,L
260,2021,MI,FT,Information Security Engineer,119000,USD,119000,US,100,US,L
261,2020,MI,FT,Security Engineer,192000,USD,192000,US,100,US,L
262,2020,SE,FT,Information Security Manager,102000,USD,102000,US,0,US,L
263,2021,SE,FT,Chief Information Security Officer,240000,USD,240000,US,100,US,S
264,2021,EN,FT,SOC Analyst,63000,USD,63000,US,0,US,L
265,2021,MI,FT,Cyber Security Engineer,98000,USD,98000,US,100,US,L
266,2020,SE,FT,Information Security Manager,55000,GBP,70545,GB,100,GB,S
267,2021,SE,FT,Information Security Manager,100000,USD,100000,US,100,US,L
268,2021,MI,FT,Information Security Engineer,80000,USD,80000,US,100,US,M
269,2020,MI,FT,Information Security Specialist,72000,USD,72000,US,100,US,L
270,2021,EN,FT,Cybersecurity Engineer,75000,USD,75000,US,100,US,L
271,2020,MI,FT,Lead Information Security Engineer,80000,USD,80000,US,50,US,L
272,2021,MI,FT,Cyber Security Analyst,67000,USD,67000,US,0,US,L
273,2020,SE,FT,Lead Information Security Engineer,130000,USD,130000,US,100,US,L
274,2021,SE,FT,Information Security Specialist,85000,CAD,67798,CA,50,CA,L
275,2021,MI,FT,SOC Analyst,120000,USD,120000,US,100,US,L
276,2021,MI,FT,Cybersecurity Engineer,76500,USD,76500,US,100,US,L
277,2021,SE,FT,Cyber Security Analyst,160000,USD,160000,US,0,US,M
278,2021,EX,FT,Head of Security,200000,USD,200000,US,100,US,L
279,2021,EX,FT,Information Security Officer,142000,USD,142000,US,50,US,L
280,2020,EX,FT,Lead Security Engineer,180000,USD,180000,US,100,US,L
281,2020,MI,FT,Cyber Security Analyst,120000,USD,120000,US,100,US,L
282,2021,MI,FT,Chief Information Security Officer,40000,USD,40000,NL,50,NL,L
283,2021,MI,FT,Information Security Architect,72000,EUR,85108,DE,100,DE,L
284,2021,SE,FT,Information Security Manager,150000,USD,150000,US,100,US,M
285,2021,MI,FT,Cyber Security Specialist,100000,USD,100000,US,0,US,L
286,2021,EN,FT,Information Security Officer,28800,EUR,34043,BE,50,BE,L
287,2021,SE,FT,Information Security Manager,140000,CAD,111667,CA,50,CA,M
288,2021,EX,FT,Head of Security,187000,USD,187000,US,100,US,L
289,2021,MI,FT,Cyber Security Analyst,648000,ZAR,43824,ZA,100,ZA,L
290,2021,EX,FT,Chief Information Security Officer,104000,USD,104000,US,100,US,L
291,2021,MI,FT,Information Security Analyst,100000,CAD,79762,CA,100,CA,L
292,2020,EN,FT,Network Security Engineer,65000,USD,65000,US,50,US,L
293,2020,MI,FT,Cyber Security Engineer,128000,USD,128000,US,0,US,L
294,2021,MI,FT,Information Security Engineer,120000,USD,120000,US,100,US,L
295,2020,MI,FT,Information Security Manager,105000,USD,105000,US,100,US,L
296,2021,MI,FT,Information Security Analyst,120000,USD,120000,US,100,US,L
297,2021,MI,FT,Incident Response Analyst,145000,USD,145000,US,100,US,L
298,2021,EN,FT,Information Security Officer,37000,EUR,43736,AT,0,AT,M
299,2021,EN,FT,Penetration Tester,78000,USD,78000,US,100,US,L
300,2021,SE,FT,Cybersecurity Engineer,125000,USD,125000,US,100,US,L
301,2021,SE,FT,Incident Response Manager,130000,USD,130000,US,0,US,L
302,2020,SE,FT,Application Security Engineer,130000,USD,130000,US,100,US,L
303,2020,SE,FT,Information Security Manager,141000,USD,141000,US,100,US,L
304,2021,SE,FT,Product Security Engineer,120000,USD,120000,US,100,US,L
305,2021,MI,FT,Cyber Security Analyst,90000,USD,90000,US,100,US,L
306,2021,EX,FT,Information Security Manager,172500,USD,172500,US,100,US,M
307,2020,SE,FT,Network and Security Engineer,90000,USD,90000,US,50,US,L
308,2020,MI,FT,Cyber Security Analyst,93000,USD,93000,US,50,US,L
309,2021,SE,FT,Cyber Security Specialist,41500,GBP,57082,GB,100,GB,L
310,2021,EN,FT,IT Security Analyst,62000,USD,62000,US,50,US,L
311,2020,SE,FT,Network and Security Engineer,240000,USD,240000,CA,100,US,L
312,2021,SE,FT,Penetration Tester,195000,USD,195000,US,100,US,L
313,2021,MI,FT,Penetration Tester,110000,CHF,120308,CH,100,CH,L
314,2021,EN,PT,Penetration Tester,50000,EUR,59102,DE,100,DE,S
315,2021,SE,FT,Chief Information Security Officer,90000,USD,90000,AR,50,AR,L
316,2021,SE,FT,Cloud Security Engineer,120000,CAD,95715,CA,50,UM,L
317,2021,EN,FT,Penetration Tester,42000,EUR,49646,LU,50,LU,S
318,2021,SE,FT,Corporate Infrastructure Security Engineer,140000,AUD,105070,AU,0,AU,L
319,2021,SE,FT,Incident Response Manager,155000,AUD,116327,AU,0,AU,L
320,2021,MI,FT,Penetration Tester,95000,CAD,75774,CA,100,CA,L
321,2021,MI,FT,SOC Analyst,12800,USD,12800,EG,100,EG,M
322,2021,EN,PT,Penetration Testing Engineer,330000,TWD,11812,TW,50,TW,S
323,2020,SE,FT,Cyber Security Analyst,98000,USD,98000,US,100,US,L
324,2021,EN,FT,Application Security Engineer,2000,USD,2000,VN,0,VN,L
325,2020,EN,FT,Application Security Engineer,85000,USD,85000,US,100,US,L
326,2021,EN,FT,SOC Analyst,47000,CAD,37488,CA,100,CA,S
327,2020,MI,FT,Incident Response Manager,120000,USD,120000,US,50,US,L
328,2021,SE,FT,Information Security Manager,120000,USD,120000,US,50,US,M
329,2021,EN,FT,Cyber Security Analyst,70000,USD,70000,US,0,US,L
330,2020,MI,FT,Cyber Security Analyst,75000,USD,75000,US,100,US,L
331,2021,EN,FT,Cyber Security Engineer,101350,USD,101350,US,50,US,L
332,2020,EN,FT,Cyber Security Analyst,60000,USD,60000,US,50,US,L
333,2021,EN,FT,Detection Engineer,85000,USD,85000,US,0,US,L
334,2020,SE,FT,Cloud Security Architect,100000,USD,100000,SA,0,SA,L
335,2021,MI,FT,Cyber Security Specialist,76000,USD,76000,US,0,US,L
336,2021,EX,FT,Information Security Architect,170000,CAD,135596,CA,50,CA,L
337,2021,SE,FT,Security Analyst,105000,USD,105000,US,100,US,M
338,2021,MI,PT,Cyber Security Researcher,100000,USD,100000,US,50,US,M
339,2021,MI,FT,Cybersecurity Engineer,65000,USD,65000,US,100,US,L
340,2021,MI,FT,Application Security Engineer,3600000,INR,48684,IN,0,IN,M
341,2021,MI,FT,Information Security Officer,122000,USD,122000,US,0,US,L
342,2021,MI,FT,Cyber Security Analyst,80000,USD,80000,US,50,US,L
343,2021,EN,FT,Information Security Analyst,76000,CAD,60619,CA,100,CA,M
344,2021,MI,FT,Cyber Security Analyst,131870,USD,131870,US,0,US,L
345,2021,MI,FT,Cyber Security Analyst,99900,USD,99900,US,0,US,L
346,2021,EN,FT,Application Security Engineer,80000,USD,80000,AF,0,AF,S
347,2021,SE,FT,Cyber Security Architect,60000,GBP,82528,GB,0,GB,L
348,2021,MI,FT,Cyber Security Analyst,79000,USD,79000,US,100,US,L
349,2020,EX,FT,Head of Security,175000,CHF,186487,CH,0,CH,L
350,2020,MI,FT,Product Security Engineer,420000,DKK,64255,DK,0,DK,L
351,2021,MI,FT,Information Security Architect,72121,CHF,78879,FR,50,CH,S
352,2021,MI,FL,Information Security Officer,65000,EUR,76833,DE,100,DE,M
353,2021,SE,FT,Penetration Tester,182000,AUD,136591,AU,100,AU,L
354,2021,SE,FT,Information Security Manager,126000,USD,126000,US,50,US,L
355,2021,EN,FT,Security Engineer,50000,USD,50000,US,50,US,S
356,2020,MI,FT,Cyber Security Engineer,75000,USD,75000,US,50,US,S
357,2021,MI,FT,IT Security Analyst,103000,USD,103000,US,0,US,L
358,2021,SE,FT,Security Engineer,138000,USD,138000,US,0,US,L
359,2021,MI,FT,Information Security Officer,36000,EUR,42554,SI,100,SI,L
